type_emission;type_generateur;label_generateur;reseau_collectif;presence_robinet_thermostatique;presence_regulation_terminale;rr;tv_rendement_regulation_id
radiateur;convecteur_electrique;nf_performance;;;;0.99;1
radiateur;panneau_rayonnant_electrique|radiateur_electrique;nf_performance;;;;0.99;2
radiateur;convecteur_electrique|panneau_rayonnant_electrique|radiateur_electrique|radiateur_electrique_accumulation;;;;;0.96;3
plancher_chauffant|plafond_chauffant;plancher_rayonnant_electrique|plafond_rayonnant_electrique;;;;1;0.98;4
plancher_chauffant|plafond_chauffant;plancher_rayonnant_electrique|plafond_rayonnant_electrique;;;;0;0.96;5
radiateur;radiateur_electrique_accumulation;;;;;0.95;6
plancher_chauffant|plafond_chauffant;;;0;;;0.95;7
plancher_chauffant|plafond_chauffant;;;1;;;0.9;8
radiateur;radiateur_gaz;;;;;0.96;9
radiateur;poele|insert;;;;;0.8;10
radiateur;;;;0;;0.9;11
radiateur;;;;1;;0.95;12
radiateur;convecteur_bi_jonction;;;;;0.9;13
air_souffle;;;;;;0.96;14
radiateur;;;;;;0.9;15
