type_masque;orientation_facade;secteur_orientation;hauteur_alpha_masque/gte;hauteur_alpha_masque/lt;omb;hauteur_alpha_defaut;tv_coef_masque_lointain_non_homogene_id
non_homogene;nord;secteur_lateral;;15;0;7.5;1
non_homogene;nord;secteur_lateral;15;30;4;22.5;2
non_homogene;nord;secteur_lateral;30;60;13;45;3
non_homogene;nord;secteur_lateral;60;;15;60;4
non_homogene;nord;secteur_central;;15;0;7.5;5
non_homogene;nord;secteur_central;15;30;14;22.5;6
non_homogene;nord;secteur_central;30;60;35;45;7
non_homogene;nord;secteur_central;60;;40;60;8
non_homogene;sud;secteur_lateral;;15;0;7.5;1
non_homogene;sud;secteur_lateral;15;30;4;22.5;2
non_homogene;sud;secteur_lateral;30;60;13;45;3
non_homogene;sud;secteur_lateral;60;;15;60;4
non_homogene;sud;secteur_central;;15;0;7.5;5
non_homogene;sud;secteur_central;15;30;14;22.5;6
non_homogene;sud;secteur_central;30;60;35;45;7
non_homogene;sud;secteur_central;60;;40;60;8
non_homogene;est;secteur_lateral;;15;0;7.5;17
non_homogene;est;secteur_lateral;15;30;5;22.5;18
non_homogene;est;secteur_lateral;30;60;17;45;19
non_homogene;est;secteur_lateral;60;;25;60;20
non_homogene;est;secteur_central;;15;0;7.5;17
non_homogene;est;secteur_central;15;30;5;22.5;18
non_homogene;est;secteur_central;30;60;17;45;19
non_homogene;est;secteur_central;60;;25;60;20
non_homogene;est;secteur_central_sud;;15;0;7.5;13
non_homogene;est;secteur_central_sud;15;30;17;22.5;14
non_homogene;est;secteur_central_sud;30;60;40;45;15
non_homogene;est;secteur_central_sud;60;;45;60;16
non_homogene;est;secteur_lateral_sud;;15;0;7.5;9
non_homogene;est;secteur_lateral_sud;15;30;14;22.5;10
non_homogene;est;secteur_lateral_sud;30;60;27;45;11
non_homogene;est;secteur_lateral_sud;60;;30;60;12
non_homogene;ouest;secteur_lateral;;15;0;7.5;9
non_homogene;ouest;secteur_lateral;15;30;14;22.5;10
non_homogene;ouest;secteur_lateral;30;60;27;45;11
non_homogene;ouest;secteur_lateral;60;;30;60;12
non_homogene;ouest;secteur_central;;15;0;7.5;13
non_homogene;ouest;secteur_central;15;30;17;22.5;14
non_homogene;ouest;secteur_central;30;60;40;45;15
non_homogene;ouest;secteur_central;60;;45;60;16
non_homogene;ouest;secteur_central_sud;;15;0;7.5;17
non_homogene;ouest;secteur_central_sud;15;30;5;22.5;18
non_homogene;ouest;secteur_central_sud;30;60;17;45;19
non_homogene;ouest;secteur_central_sud;60;;25;60;20
non_homogene;ouest;secteur_lateral_sud;;15;0;7.5;17
non_homogene;ouest;secteur_lateral_sud;15;30;5;22.5;18
non_homogene;ouest;secteur_lateral_sud;30;60;17;45;19
non_homogene;ouest;secteur_lateral_sud;60;;25;60;20
