mois;zone_climatique;epv
01;H1a;50.1
02;H1a;54.7
03;H1a;123.4
04;H1a;169.3
05;H1a;208.2
06;H1a;217.8
07;H1a;221.9
08;H1a;173.3
09;H1a;163.6
10;H1a;88.9
11;H1a;59.1
12;H1a;43.2
01;H1b;41.5
02;H1b;66.8
03;H1b;99
04;H1b;152.7
05;H1b;182.7
06;H1b;215.6
07;H1b;227.4
08;H1b;188.8
09;H1b;148.7
10;H1b;101.5
11;H1b;46.5
12;H1b;47.9
01;H1c;61.5
02;H1c;81.3
03;H1c;149.7
04;H1c;178.3
05;H1c;185
06;H1c;228.2
07;H1c;236.7
08;H1c;211.5
09;H1c;166.7
10;H1c;100.3
11;H1c;62.7
12;H1c;43.5
01;H2a;52.6
02;H2a;86.2
03;H2a;150.4
04;H2a;159.3
05;H2a;184.3
06;H2a;214.3
07;H2a;210.3
08;H2a;186.8
09;H2a;165.7
10;H2a;92.3
11;H2a;83.3
12;H2a;52.1
01;H2b;44.6
02;H2b;84.3
03;H2b;121.1
04;H2b;180.9
05;H2b;194.2
06;H2b;210.5
07;H2b;227.4
08;H2b;213.7
09;H2b;159.3
10;H2b;126.5
11;H2b;56.9
12;H2b;37
01;H2c;55.5
02;H2c;91.4
03;H2c;177.4
04;H2c;172
05;H2c;229.3
06;H2c;226.3
07;H2c;251.2
08;H2c;231.4
09;H2c;183
10;H2c;107.8
11;H2c;84.5
12;H2c;51.3
01;H2d;123.7
02;H2d;141.8
03;H2d;191.7
04;H2d;205.3
05;H2d;238.6
06;H2d;291.8
07;H2d;313.6
08;H2d;284.5
09;H2d;218.4
10;H2d;138
11;H2d;113.8
12;H2d;105.3
01;H3;116.1
02;H3;129.4
03;H3;181.5
04;H3;244.1
05;H3;260.7
06;H3;296.5
07;H3;314.5
08;H3;281
09;H3;225.8
10;H3;151.2
11;H3;113.2
12;H3;94.8
